id,LoaiSims,TacVu,SoSim,Gia,Mang,LoaiGia,NamSinh,Anh
1567,,thuong,0919256079,1200000,3,,,/default.png
1566,,thuong,0917844379,1200000,3,,,/default.png
1565,,thuong,0916451879,1200000,3,,,/default.png
1564,,thuong,0911498179,1200000,3,,,/default.png
1563,,thuong,0911499079,1200000,3,,,/default.png
1562,,thuong,0911401879,1200000,3,,,/default.png
1561,,thuong,0848828567,1200000,3,,,/default.png
1560,,thuong,0945667861,1200000,3,,,/default.png
1559,,thuong,0945677012,1200000,3,,,/default.png
1558,,thuong,0949382786,1200000,3,,,/default.png
1557,,thuong,0949052995,1200000,3,,,/default.png
1556,,thuong,0949005131,1200000,3,,,/default.png
1555,,thuong,0886197889,1200000,3,,,/default.png
1554,,thuong,0886208078,1200000,3,,,/default.png
1553,,thuong,0886203767,1200000,3,,,/default.png
1552,,thuong,0886212404,1200000,3,,,/default.png
1551,,thuong,0886699554,1200000,3,,,/default.png
1550,,thuong,0886196883,1200000,3,,,/default.png
1549,,thuong,0886193468,1200000,3,,,/default.png
1548,,thuong,0886060398,1200000,3,,,/default.png
1547,,thuong,0886072027,1200000,3,,,/default.png
1546,,thuong,0917288910,1200000,3,,,/default.png
1545,,thuong,0886074439,1200000,3,,,/default.png
1544,,thuong,0886250345,1200000,3,,,/default.png
1543,,thuong,0886194168,1200000,3,,,/default.png
1542,,thuong,0886249139,1200000,3,,,/default.png
1541,,thuong,0886249239,1200000,3,,,/default.png
1540,,thuong,0886238248,1200000,3,,,/default.png
1539,,thuong,0911445700,1200000,3,,,/default.png
1538,,thuong,0911335523,1200000,3,,,/default.png
1537,,thuong,0911164311,1200000,3,,,/default.png
1536,,thuong,0911445922,1200000,3,,,/default.png
1535,,thuong,0911312696,1200000,3,,,/default.png
1534,,thuong,0911239121,1200000,3,,,/default.png
1533,,thuong,0911222463,1200000,3,,,/default.png
1532,,thuong,0911317315,1200000,3,,,/default.png
1531,,thuong,0911252660,1200000,3,,,/default.png
1530,,thuong,0911365090,1200000,3,,,/default.png
1529,,thuong,0949409747,1200000,3,,,/default.png
1528,,thuong,0948111417,1200000,3,,,/default.png
1527,,thuong,0948762357,1200000,3,,,/default.png
1526,,thuong,0912496339,1200000,3,,,/default.png
1525,,thuong,0889939178,1200000,3,,,/default.png
1524,,thuong,0886050779,1200000,3,,,/default.png
1523,,thuong,0913317479,1200000,3,,,/default.png
1522,,thuong,0914283279,1200000,3,,,/default.png
1521,,thuong,0915681591,1500000,3,,,/default.png
1520,,thuong,0915658252,1500000,3,,,/default.png
1519,,thuong,0915979712,1500000,3,,,/default.png
1518,,thuong,0917851575,1500000,3,,,/default.png
1517,,thuong,0917868624,1500000,3,,,/default.png
1516,,thuong,0917891592,1500000,3,,,/default.png
1515,,thuong,0917920003,1500000,3,,,/default.png
1514,,thuong,0918009024,1500000,3,,,/default.png
1513,,thuong,0917997984,1500000,3,,,/default.png
1512,,thuong,0947162399,1500000,3,,,/default.png
1511,,thuong,0949686295,1500000,3,,,/default.png
1510,,thuong,0949955182,1500000,3,,,/default.png
1509,,thuong,0948848872,1500000,3,,,/default.png
1508,,thuong,0946686079,1500000,3,,,/default.png
1507,,thuong,0941523379,1500000,3,,,/default.png
1506,,thuong,0947088179,1500000,3,,,/default.png
1505,,thuong,0942246968,1500000,3,,,/default.png
1504,,thuong,0886108879,2500000,3,,,/default.png
1503,,thuong,0886340345,2500000,3,,,/default.png
1502,,thuong,0822340789,2500000,3,,,/default.png
1501,,thuong,0812945345,2500000,3,,,/default.png
1500,,thuong,0859041985,2500000,3,,,/default.png
1499,,thuong,0942874179,2500000,3,,,/default.png
1498,,thuong,0827779568,2500000,3,,,/default.png
1497,,thuong,0849725555,3500000,3,,,/default.png
1496,,thuong,0818298789,4000000,3,,,/default.png
1495,,thuong,0845883338,4000000,3,,,/default.png
1494,,thuong,0845550077,4000000,3,,,/default.png
1493,,thuong,0847887789,4000000,3,,,/default.png
1492,,thuong,0846899789,4000000,3,,,/default.png
1491,,thuong,0848000080,5000000,3,,,/default.png
1490,,thuong,0949441368,500000,3,,,/default.png
1489,,thuong,0941053939,500000,3,,,/default.png
1488,,thuong,0889877877,500000,3,,,/default.png
1487,,thuong,0889679898,500000,3,,,/default.png
1486,,thuong,0916053565,500000,3,,,/default.png
1485,,thuong,0918072049,500000,3,,,/default.png
1484,,thuong,0911511817,500000,3,,,/default.png
1483,,thuong,0913137794,500000,3,,,/default.png
1482,,thuong,0915744996,500000,3,,,/default.png
1481,,thuong,0914838331,500000,3,,,/default.png
